STATION,NAME,LATITUDE,LONGITUDE,DATE,EMXP,PRCP
USC00381997,"CONWAY, SC US",33.8313,-79.0558,2010,,42.05
USC00381997,"CONWAY, SC US",33.8313,-79.0558,2011,2.65,37.96
USC00381997,"CONWAY, SC US",33.8313,-79.0558,2012,5.95,53.92
USC00381997,"CONWAY, SC US",33.8313,-79.0558,2013,2.65,51.65
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,2012,3.53,53.76
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,2013,3.21,58.24
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,2014,3.69,52.84
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,2015,10.82,77.65
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,2016,7.49,73.1
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,2017,3.01,52.29
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,2018,6.4,67.57
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,2019,4.31,48.8
US1SCHR0061,"CONWAY 6.2 E, SC US",33.82948,-78.95277,2020,4.57,72.44
US1SCHR0010,"MYRTLE BEACH 8.6 SW, SC US",33.6192,-79.0145,2012,3.21,47.08
US1SCHR0010,"MYRTLE BEACH 8.6 SW, SC US",33.6192,-79.0145,2014,3.71,66.72
US1SCHR0010,"MYRTLE BEACH 8.6 SW, SC US",33.6192,-79.0145,2015,7.05,72.65
US1SCHR0076,"MYRTLE BEACH 9.1 WSW, SC US",33.646118,-79.036631,2015,8.04,71.29
US1SCHR0076,"MYRTLE BEACH 9.1 WSW, SC US",33.646118,-79.036631,2016,8.41,69.54
US1SCHR0033,"LORIS 2.9 WSW, SC US",34.037885,-78.935069,2012,3.39,54.93
US1SCHR0033,"LORIS 2.9 WSW, SC US",34.037885,-78.935069,2013,3.4,63.96
US1SCHR0033,"LORIS 2.9 WSW, SC US",34.037885,-78.935069,2015,3.73,60.56
US1SCHR0033,"LORIS 2.9 WSW, SC US",34.037885,-78.935069,2016,6.97,61.37
US1SCHR0033,"LORIS 2.9 WSW, SC US",34.037885,-78.935069,2017,3.09,56.54
US1SCHR0066,"MYRTLE BEACH 9.2 WSW, SC US",33.623648,-79.025797,2014,3.08,64.24
US1SCHR0066,"MYRTLE BEACH 9.2 WSW, SC US",33.623648,-79.025797,2020,3.95,66.58
US1SCHR0063,"MURRELLS INLET 1.7 N, SC US",33.578576,-79.045388,2013,4.19,50.72
US1SCHR0063,"MURRELLS INLET 1.7 N, SC US",33.578576,-79.045388,2014,3.46,62.16
US1SCHR0063,"MURRELLS INLET 1.7 N, SC US",33.578576,-79.045388,2018,3.63,54.76
US1SCHR0063,"MURRELLS INLET 1.7 N, SC US",33.578576,-79.045388,2020,4,70.33
US1SCHR0064,"MYRTLE BEACH 2.4 ENE, SC US",33.715721,-78.855623,2015,9.35,69.26
US1SCHR0064,"MYRTLE BEACH 2.4 ENE, SC US",33.715721,-78.855623,2017,2.76,45.67
US1SCHR0075,"MYRTLE BEACH 7.4 NNW, SC US",33.790506,-78.957247,2014,3.14,51.79
US1SCHR0075,"MYRTLE BEACH 7.4 NNW, SC US",33.790506,-78.957247,2015,8.42,87.71
US1SCHR0075,"MYRTLE BEACH 7.4 NNW, SC US",33.790506,-78.957247,2019,4.51,54.74
US1SCHR0075,"MYRTLE BEACH 7.4 NNW, SC US",33.790506,-78.957247,2020,3.62,74.55
US1SCHR0014,"MURRELLS INLET 4.0 NE, SC US",33.5994932,-79.0065316,2013,3.79,48.06
US1SCHR0014,"MURRELLS INLET 4.0 NE, SC US",33.5994932,-79.0065316,2014,3.32,59.28
US1SCHR0014,"MURRELLS INLET 4.0 NE, SC US",33.5994932,-79.0065316,2016,10,60.14
US1SCHR0014,"MURRELLS INLET 4.0 NE, SC US",33.5994932,-79.0065316,2017,4.04,47.89
US1SCHR0014,"MURRELLS INLET 4.0 NE, SC US",33.5994932,-79.0065316,2019,6.15,51.88
US1SCHR0014,"MURRELLS INLET 4.0 NE, SC US",33.5994932,-79.0065316,2020,4.49,65.3
US1SCHR0046,"MYRTLE BEACH 5.0 WNW, SC US",33.72668,-78.9728839,2012,2.85,39.44
US1SCHR0046,"MYRTLE BEACH 5.0 WNW, SC US",33.72668,-78.9728839,2013,4.48,52.29
US1SCHR0046,"MYRTLE BEACH 5.0 WNW, SC US",33.72668,-78.9728839,2014,3.51,53.09
US1SCHR0046,"MYRTLE BEACH 5.0 WNW, SC US",33.72668,-78.9728839,2015,9.55,72.26
US1SCHR0046,"MYRTLE BEACH 5.0 WNW, SC US",33.72668,-78.9728839,2016,6.78,68.54
US1SCHR0046,"MYRTLE BEACH 5.0 WNW, SC US",33.72668,-78.9728839,2017,3.25,47.37
US1SCHR0046,"MYRTLE BEACH 5.0 WNW, SC US",33.72668,-78.9728839,2019,5.63,57.22
US1SCHR0106,"MYRTLE BEACH 4.8 NNW, SC US",33.76386,-78.91961,2019,4.94,53.29
US1SCHR0106,"MYRTLE BEACH 4.8 NNW, SC US",33.76386,-78.91961,2020,4.95,76.84
US1SCHR0019,"LORIS 1.4 ENE, SC US",34.067521,-78.868929,2016,5.08,59.64
US1SCHR0019,"LORIS 1.4 ENE, SC US",34.067521,-78.868929,2018,11,73.78
USW00093718,"NORTH MYRTLE BEACH, SC US",33.81619,-78.72048,2010,2.72,41.91
USW00093718,"NORTH MYRTLE BEACH, SC US",33.81619,-78.72048,2011,2.04,33.5
USW00093718,"NORTH MYRTLE BEACH, SC US",33.81619,-78.72048,2012,1.96,39.27
USW00093718,"NORTH MYRTLE BEACH, SC US",33.81619,-78.72048,2013,3.25,48.59
USW00093718,"NORTH MYRTLE BEACH, SC US",33.81619,-78.72048,2014,2.25,41.01
USW00093718,"NORTH MYRTLE BEACH, SC US",33.81619,-78.72048,2015,7.88,64.87
USW00093718,"NORTH MYRTLE BEACH, SC US",33.81619,-78.72048,2016,8.9,56.26
USW00093718,"NORTH MYRTLE BEACH, SC US",33.81619,-78.72048,2017,3.73,49.13
USW00093718,"NORTH MYRTLE BEACH, SC US",33.81619,-78.72048,2018,5.71,68.53
USW00093718,"NORTH MYRTLE BEACH, SC US",33.81619,-78.72048,2019,10.39,56.02
USW00093718,"NORTH MYRTLE BEACH, SC US",33.81619,-78.72048,2020,4.12,55.72