C_CAP,Loss,Gain,Net_Change,Percent_Change,1996,2016
High Intensity Developed,-0.01,2.15,2.14,56.10%,3.81,5.94
Medium Intensity Developed,-0.17,10.57,10.41,105.80%,9.84,20.24
Low Intensity Developed,-0.56,23.02,22.46,40.90%,54.88,77.34
Developed Open Space,-1.57,17.96,16.38,57.20%,28.66,45.05
Cultivated,-5.6,5.9,0.3,0.10%,200.11,200.41
Grassland,-13.06,10.13,-2.93,-14.90%,19.68,16.75
Deciduous Forest,-0.28,0.16,-0.12,-5.40%,2.17,2.06
Evergreen Forest,-48.5,25.84,-22.67,-13.20%,171.85,149.18
Mixed Forest,-0.9,0.47,-0.44,-19.60%,2.22,1.79
Scrub/Shrub,-29.83,24.7,-5.14,-7.90%,64.88,59.74
Woody Wetland,-31,2.48,-28.51,-10.00%,286.21,257.69
Emergent Wetland,-3.23,7.18,3.94,67.60%,5.83,9.77
Unconsolidated Shore,-0.02,0.05,0.02,71.10%,0.03,0.06
Barren Land,-0.85,2.4,1.55,80.50%,1.92,3.47
Open Water,-0.3,2.91,2.61,2.60%,101.98,104.59